model,class,support_per_test,f1_mean,f1_std,f1_seed42,f1_seed3407,f1_seed2026
single,idle,10,0.06998707219160373,0.015576965582658853,0.056338028169014086,0.06666666666666667,0.08695652173913043
single,swing_bucket,80,0.5618695128249268,0.06999214072870302,0.5477707006369427,0.6378378378378379,0.4999999999999999
single,load_bucket,44,0.16022781012244702,0.10114633899638022,0.1408450704225352,0.07017543859649122,0.26966292134831465
single,dump,35,0.2217319360176503,0.19680224288978967,0.1081081081081081,0.1081081081081081,0.44897959183673464
single,move,1,0.0,0.0,0.0,0.0,0.0
temporal,idle,10,0.12127822989181947,0.01226081714764793,0.10714285714285714,0.12903225806451613,0.1276595744680851
temporal,swing_bucket,80,0.6098565378964653,0.0349232951365143,0.5864661654135339,0.593103448275862,0.65
temporal,load_bucket,44,0.28661991584852736,0.2849200522899989,0.08695652173913045,0.6129032258064516,0.16
temporal,dump,35,0.2244044371703946,0.23463715934544419,0.4680851063829787,0.20512820512820512,0.0
temporal,move,1,0.0,0.0,0.0,0.0,0.0
