model,training_mode,metric,n,mean,sample_std
single,stream,clip_accuracy,3,0.3450980392156862,0.03827298293322181
single,stream,clip_macro_f1,3,0.20276326623132554,0.05062559454300139
single,stream,continuous_accuracy,3,0.31133459040435785,0.027279098965655512
single,stream,continuous_macro_f1,3,0.21177269433161183,0.05606063972306904
single,stream,continuous_edit_video_mean,3,0.49588781429558565,0.005037661765031884
single,stream,continuous_segment_f1_at_0.5,3,0.1506654838579952,0.11349417976372983
temporal,stream,clip_accuracy,3,0.4058823529411764,0.09244843320883357
temporal,stream,clip_macro_f1,3,0.24843182416144138,0.06026124651214745
temporal,stream,continuous_accuracy,3,0.38047349675256653,0.16519496583087367
temporal,stream,continuous_macro_f1,3,0.2579146778413211,0.08723277041491612
temporal,stream,continuous_edit_video_mean,3,0.543417127683208,0.07422362003476418
temporal,stream,continuous_segment_f1_at_0.5,3,0.24573154714998682,0.13062850796840073
