epoch,video_id,raw_line,class_id,draws
1,140555,1,2,8
1,140555,2,1,6
1,140555,3,3,6
1,140555,4,1,5
1,140555,5,2,4
1,140555,6,1,6
1,140555,7,3,5
1,140555,8,1,3
1,140555,9,2,8
1,140555,10,1,8
1,140555,11,3,1
1,140555,12,1,5
1,140555,13,2,3
1,140555,14,1,4
1,140555,15,3,4
1,140555,16,1,3
1,140555,17,2,4
1,140555,18,1,5
1,140555,20,1,5
1,140555,21,2,6
1,140555,22,1,3
1,140555,23,3,4
1,140555,24,1,4
1,140555,25,2,4
1,140555,26,1,7
1,140555,27,3,6
1,140555,28,1,2
1,140555,29,2,3
1,140555,30,1,8
1,140555,31,3,5
1,140555,32,1,2
1,140555,33,2,3
1,140555,34,1,8
1,140555,35,3,7
1,140555,36,1,3
1,140555,37,2,7
1,140555,38,1,5
1,140555,39,3,5
1,140555,40,1,1
1,140555,41,2,5
1,140555,42,1,4
1,140555,43,2,10
1,140555,44,2,7
1,140555,45,1,2
1,140555,46,4,3
1,140555,47,1,3
1,140555,48,0,1
1,143110,2,1,9
1,143110,3,3,3
1,143110,4,1,3
1,143110,5,0,4
1,143110,6,2,4
1,143110,7,1,3
1,143110,8,3,2
1,143110,9,1,1
1,143110,10,2,3
1,143110,11,1,3
1,143110,12,3,4
1,143110,13,1,5
1,143110,14,2,4
1,143110,15,1,2
1,143110,16,3,6
1,143110,17,1,5
1,143110,18,2,3
1,143110,19,1,8
1,143110,20,3,11
1,143110,21,1,5
1,143110,22,2,5
1,143110,23,1,7
1,143110,24,3,7
1,143110,25,1,4
1,143110,26,0,7
1,143110,27,2,6
1,143110,28,1,2
1,143110,29,3,4
1,143110,30,1,4
1,143110,31,2,3
1,143110,32,1,4
1,143110,33,3,7
1,143110,34,1,4
1,143110,35,2,3
1,143110,36,1,2
1,143110,37,3,4
1,143110,38,1,9
1,143110,39,2,1
1,143110,40,1,6
1,143110,41,3,10
1,143110,42,1,7
1,143110,43,2,2
1,143110,44,1,3
1,143110,45,0,4
1,144206,1,2,3
1,144206,3,3,6
1,144206,4,1,5
1,144206,5,2,1
1,144206,6,1,1
1,144206,7,3,4
1,144206,8,1,8
1,144206,9,2,6
1,144206,10,1,2
1,144206,11,3,7
1,144206,12,1,2
1,144206,13,2,6
1,144206,14,1,5
1,144206,15,3,4
1,144206,16,1,1
1,144206,17,2,3
1,144206,18,1,6
1,144206,19,3,5
1,144206,20,1,2
1,144206,21,2,4
1,144206,22,1,5
1,144206,23,3,8
1,144206,24,1,2
1,144206,25,2,4
1,144206,26,1,4
1,144206,27,3,4
1,144206,28,1,4
1,144206,29,2,2
1,144206,30,1,3
1,144206,31,3,3
1,144206,32,1,2
1,144206,33,0,4
1,144206,34,1,6
1,144206,35,0,4
1,144206,36,1,8
1,144206,37,4,1
1,151341,1,0,4
1,151341,2,3,5
1,151341,3,1,11
1,151341,4,2,2
1,151341,5,1,3
1,151341,6,3,3
1,151341,7,1,7
1,151341,8,2,4
1,151341,9,1,3
1,151341,10,3,2
1,151341,11,1,5
1,151341,12,2,3
1,151341,13,1,5
1,151341,14,3,7
1,151341,15,1,4
1,151341,16,2,2
1,151341,17,1,3
1,151341,18,3,6
1,151341,19,1,6
1,151341,20,2,3
1,151341,21,1,6
1,151341,22,3,4
1,151341,23,1,5
1,151341,24,2,3
1,151341,25,1,6
1,151341,26,3,5
1,151341,27,1,5
1,151341,28,2,3
1,151341,29,1,6
1,151341,30,0,5
1,152129,1,0,5
1,152129,2,3,1
1,152129,3,1,2
1,152129,4,2,3
1,152129,5,1,6
1,152129,6,3,5
1,152129,7,1,4
1,152129,8,2,3
1,152129,9,1,7
1,152129,10,3,2
1,152129,11,1,8
1,152129,12,2,5
1,152129,13,1,2
1,152129,14,3,3
1,152129,15,1,2
1,152129,16,2,4
1,152129,17,1,5
1,152129,18,3,3
1,152129,19,1,2
1,152129,20,2,4
1,152129,21,1,1
1,152129,22,3,4
1,152129,23,1,2
1,152129,24,2,1
1,152129,25,1,4
1,152129,26,3,4
1,152129,27,1,4
1,152129,28,2,9
1,152129,29,1,3
1,152129,30,3,3
1,152129,31,1,8
1,152129,32,2,6
1,153004,1,0,4
1,153004,2,3,1
1,153004,3,1,5
1,153004,4,2,6
1,153004,5,1,3
1,153004,6,3,1
1,153004,7,1,6
1,153004,8,2,2
1,153004,9,1,4
1,153004,10,3,3
1,153004,11,1,5
1,153004,12,2,7
1,153004,13,1,4
1,153004,14,3,4
1,153004,15,1,3
1,153004,16,2,5
1,153004,17,1,2
1,153004,18,3,3
1,153004,19,1,3
1,153004,20,2,4
1,153004,21,1,4
1,153004,22,3,3
1,153004,23,1,8
1,153004,24,2,5
1,153004,25,1,5
1,153004,26,3,5
1,153004,27,1,1
1,153004,28,2,5
1,153004,29,0,4
1,153004,30,2,4
1,153004,31,1,4
1,153004,32,0,7
2,140555,1,2,2
2,140555,2,1,6
2,140555,3,3,6
2,140555,4,1,7
2,140555,5,2,5
2,140555,7,3,3
2,140555,8,1,3
2,140555,9,2,3
2,140555,10,1,6
2,140555,11,3,4
2,140555,12,1,6
2,140555,13,2,7
2,140555,14,1,7
2,140555,15,3,1
2,140555,16,1,2
2,140555,17,2,5
2,140555,18,1,1
2,140555,19,3,6
2,140555,20,1,6
2,140555,21,2,5
2,140555,22,1,7
2,140555,23,3,4
2,140555,24,1,5
2,140555,25,2,7
2,140555,26,1,8
2,140555,27,3,3
2,140555,28,1,4
2,140555,29,2,1
2,140555,30,1,5
2,140555,31,3,1
2,140555,32,1,6
2,140555,33,2,7
2,140555,34,1,4
2,140555,35,3,5
2,140555,36,1,5
2,140555,37,2,8
2,140555,38,1,3
2,140555,39,3,6
2,140555,40,1,8
2,140555,41,2,3
2,140555,42,1,1
2,140555,43,2,4
2,140555,44,2,3
2,140555,45,1,3
2,140555,46,4,3
2,140555,47,1,5
