video_id,equipment_id,start_frame,end_frame,start_time,end_time,pred_action,confidence
134516,1,63,127,2.52,5.08,swing_bucket,0.8158665001392365
134516,1,127,255,5.08,10.2,dump,0.7291672378778458
134516,1,255,287,10.2,11.48,swing_bucket,0.8491683602333069
134516,1,287,575,11.48,23.0,idle,0.8416018916500939
134516,1,575,639,23.0,25.56,swing_bucket,0.7117563188076019
134516,1,639,799,25.56,31.96,dump,0.808789587020874
134516,1,799,831,31.96,33.24,swing_bucket,0.4138129651546478
134516,1,831,863,33.24,34.52,idle,0.955077588558197
134516,1,863,895,34.52,35.8,load_bucket,0.8041486144065857
134516,1,895,1087,35.8,43.48,idle,0.6438404321670532
134516,1,1087,1183,43.48,47.32,swing_bucket,0.7657225131988525
134516,1,1183,1343,47.32,53.72,dump,0.8244382858276367
134516,1,1343,1375,53.72,55.0,swing_bucket,0.7236283421516418
134516,1,1375,1407,55.0,56.28,idle,0.7803938388824463
134516,1,1407,1631,56.28,65.24,load_bucket,0.7647915482521057
134516,1,1631,1727,65.24,69.08,swing_bucket,0.7788575291633606
134516,1,1727,1919,69.08,76.76,dump,0.7018178800741831
134516,1,1919,1951,76.76,78.04,swing_bucket,0.5330873131752014
134516,1,1951,2111,78.04,84.44,load_bucket,0.6354378640651703
134516,1,2111,2207,84.44,88.28,idle,0.6841750343640646
134516,1,2207,2239,88.28,89.56,load_bucket,0.7385169863700867
134516,1,2239,2303,89.56,92.12,swing_bucket,0.8745187222957611
134516,1,2303,2495,92.12,99.8,dump,0.7081644833087921
134516,1,2495,2527,99.8,101.08,swing_bucket,0.37301263213157654
134516,1,2527,2559,101.08,102.36,load_bucket,0.7448775768280029
134516,1,2559,2975,102.36,119.0,idle,0.6727663370279166
134516,1,2975,3007,119.0,120.28,load_bucket,0.5085338950157166
134516,1,3007,3039,120.28,121.56,move,0.8493685126304626
134516,1,3039,3135,121.56,125.4,swing_bucket,0.7733032504717509
134516,1,3135,3263,125.4,130.52,dump,0.6836434751749039
134516,1,3263,3295,130.52,131.8,swing_bucket,0.7056652903556824
134516,1,3295,3359,131.8,134.36,load_bucket,0.529095858335495
134516,1,3359,3487,134.36,139.48,idle,0.7312008440494537
134516,1,3487,3551,139.48,142.04,load_bucket,0.60880246758461
134516,1,3551,3615,142.04,144.6,idle,0.6504198610782623
134516,1,3615,3647,144.6,145.88,load_bucket,0.536422073841095
134516,1,3647,3711,145.88,148.44,swing_bucket,0.8537901043891907
134516,1,3711,3839,148.44,153.56,dump,0.7799108326435089
134516,1,3839,3871,153.56,154.84,swing_bucket,0.9299531579017639
134516,1,3871,3935,154.84,157.4,load_bucket,0.7085239589214325
134516,1,3935,4031,157.4,161.24,idle,0.6195422808329264
134516,1,4031,4095,161.24,163.8,load_bucket,0.6265321969985962
134516,1,4095,4191,163.8,167.64,idle,0.518517792224884
134516,1,4191,4383,167.64,175.32,load_bucket,0.6118630965550741
134516,1,4383,4415,175.32,176.6,move,0.5544255971908569
134516,1,4415,4479,176.6,179.16,swing_bucket,0.8577833771705627
134516,1,4479,4607,179.16,184.28,dump,0.7544261366128922
134516,1,4607,4639,184.28,185.56,swing_bucket,0.7616834044456482
134516,1,4639,4671,185.56,186.84,load_bucket,0.5145672559738159
134516,1,4671,4703,186.84,188.12,idle,0.5057010650634766
134516,1,4703,4895,188.12,195.8,load_bucket,0.7158186535040537
134516,1,4895,4991,195.8,199.64,swing_bucket,0.7216734786828359
134516,1,4991,5183,199.64,207.32,dump,0.7886452873547872
134516,1,5183,5247,207.32,209.88,swing_bucket,0.6104316413402557
134516,1,5247,5663,209.88,226.52,load_bucket,0.890964035804455
134516,1,5663,5919,226.52,236.76,idle,0.7047535628080368
